Código - PDM;Título - PDM;Descrição Longa - PDM;Descrição Curta - PDM;Característica - Descrição;Conteúdo - Descrição;Descrição Curta - Conteúdo;Unidade - Descrição;Sigla - Unidade
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;150;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;155;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;160;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;170;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;175;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;18;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;180;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;185;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;19;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;190;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;200;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;210;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;23;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;24;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;30;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;32;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;33;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;36;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;38;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;39;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;42;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;43;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;44;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;45;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;47;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;51;51;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;52;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;55;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;57;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;60;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;63;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;66;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;69;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;7;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;70;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;72;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;75;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;77;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;81;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;83;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;87;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;90;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;92;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;94;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;95;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;97;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;COMPRIMENTO CANAL;98;;MILIMETRO;mm
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;SENTIDO CORTE;DIREITA;DIR;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;SENTIDO CORTE;ESQUERDA;ESQ;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;SERIE;A 220;;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;SERIE;CURTA;CUR;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;SERIE;LONGA;LONG;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;SERIE;NORMAL;NOR;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;PONTA;ACO RAPIDO;HSS;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;PONTA;METAL DURO;PT MD;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;CANAL REFRIGERACAO INTERNA;;;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;PADRAO;ANSI B94.11M;ANSI B94.11M;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;PADRAO;DIN 338;DIN338;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;PADRAO;DIN 340;DIN340;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;PADRAO;DIN 345;DIN345;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;PADRAO;DIN 8039;DIN8039;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;BOSCH-2608586583;BOSCH-2608586583;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;DORMER-.;DORMER-.;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1112;IRWIN-1112;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1116;IRWIN-1116;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1222;IRWIN-1222;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1226;IRWIN-1226;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1234;IRWIN-1234;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1240;IRWIN-1240;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1246;IRWIN-1246;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1248;IRWIN-1248;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1258;IRWIN-1258;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1264;IRWIN-1264;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1276;IRWIN-1276;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1282;IRWIN-1282;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1294;IRWIN-1294;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1306;IRWIN-1306;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1312;IRWIN-1312;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1318;IRWIN-1318;;
SMK-BHELI;BROCA HELICOIDAL PARA METAL;BROCA HELICOIDAL PARA METAL;BROCA;FABRICANTE-REFERENCIA;IRWIN-1342;IRWIN-1342;;
SMK-BHIMR;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDR;TIPO ACIONAMENTO;ALAVANCA MANUAL;MAN;;
SMK-BHIMR;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDR;TIPO ACIONAMENTO;MOTOR ELETRICO;MOT;;
SMK-BHIMR;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDR;NUMERO ESTAGIOS;1 ESTAGIO;;;
SMK-BHIMR;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDR;TIPO CONEXAO;BSP;BSP;;
SMK-BHIMR;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDR;TIPO CONEXAO;NPT;NPT;;
SMK-BHIMR;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDR;DIMENSAO CONEXAO;1/2;1/2;POLEGADA;""""
SMK-BHIMR;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDR;DIMENSAO CONEXAO;3/8;3/8;POLEGADA;""""
SMK-BHIMR;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDR;CAPACIDADE RESERVATORIO;250;250;CENTIMETRO CUBICO;cm³
SMK-BHIMR;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDR;CAPACIDADE RESERVATORIO;8,0;8;LITRO;l
SMK-BHIMR;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDR;PRESSAO MAXIMA;100;100;MEGAPASCAL;MPa
SMK-BHIMR;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDR;PRESSAO MAXIMA;1600;1600;BAR;BAR
SMK-BHIMR;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDR;ACESSORIO;;;;
SMK-BHIMR;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDRAULICA MANUTENCAO ROLAMENTO;BOMBA HIDR;FABRICANTE-REFERENCIA;;;;
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;MODELO;FENDA CRUZADA;FC;;
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;MODELO;FENDA SIMPLES;FS;;
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;MODELO;MULTIDENTADO;MULTIDENTADO;;
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;MODELO;TORX ABAULADA;TORX;;
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;MATERIAL;ACO CROMO VANADIO;ACV;;
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;TRATAMENTO SUPERFICIAL;FOSFATIZADO;;;
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;TRATAMENTO SUPERFICIAL;NITRETO TITANIO;;;
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;MEDIDA ENCAIXE;1/4;1/4;POLEGADA;""""
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;MEDIDA ENCAIXE;5/16;;POLEGADA;""""
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;BITOLA;1;1;MILIMETRO;mm
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;BITOLA;12;12;MILIMETRO;mm
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;BITOLA;2;2;MILIMETRO;mm
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;BITOLA;3;3;MILIMETRO;mm
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;BITOLA;3,5;3,5;MILIMETRO;mm
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;BITOLA;4,5;4,5;MILIMETRO;mm
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;BITOLA;5;5;MILIMETRO;mm
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;BITOLA;5,5;5,5;MILIMETRO;mm
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;BITOLA;6;6;MILIMETRO;mm
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;BITOLA;6,35;6,35;MILIMETRO;mm
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;BITOLA;6,5;6,5;MILIMETRO;mm
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;BITOLA;6,65;6,65;MILIMETRO;mm
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;BITOLA;8;8;MILIMETRO;mm
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;COMPRIMENTO;2 (50,8MM);2;POLEGADA;""""
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;COMPRIMENTO;25,4;25,4;MILIMETRO;mm
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;COMPRIMENTO;28;28;MILIMETRO;mm
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;PADRAO PONTA BITS;DIN 3126 FORMA C;;;
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;PADRAO PONTA BITS;DIN 3126 FORMA E;;;
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;REBAIXO PONTA;COM REBAIXO;;;
SMK-BIAPE;BITS FERRAMENTA APERTO;BITS;BITS;FABRICANTE-REFERENCIA;;;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;LAMPADA;COM LAMPADA;C/LAMP;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;LAMPADA;SEM LAMPADA;S/LAMP;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;TIPO LAMPADA;HALOGENA;HALO;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;TIPO LAMPADA;INCANDESCENTE;INC;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;TIPO LAMPADA;LED;LED;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;COR;AMARELO;;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;COR;BRANCO;;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;COR;VERMELHO;;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;TENSAO MAXIMA;230;230;VOLT CORRENTE ALTERNADA;Vca
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;TENSAO MAXIMA;24;24;VOLT CORRENTE CONTINUA;Vcc
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;TENSAO MAXIMA;240;240;VOLT CORRENTE ALTERNADA;Vca
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;TENSAO MAXIMA;250;250;VOLT CORRENTE ALTERNADA;Vca
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;TENSAO MAXIMA;380;380;VOLT CORRENTE ALTERNADA;Vca
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;TENSAO MAXIMA;400;400;VOLT CORRENTE ALTERNADA;Vca
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;TENSAO MAXIMA;440;440;VOLT CORRENTE ALTERNADA;Vca
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;TENSAO MAXIMA;500;500;VOLT CORRENTE ALTERNADA;Vca
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;TENSAO MAXIMA;600;600;VOLT CORRENTE ALTERNADA;Vca
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;TENSAO MAXIMA;660;660;VOLT CORRENTE ALTERNADA;Vca
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;TENSAO MAXIMA;690;690;VOLT CORRENTE ALTERNADA;Vca
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;BASE;BA15D;BA15D;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;BASE;BA9S;BA9S;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;NUMERO CONTATO;1 NAF;1NAF;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;NUMERO CONTATO;1NA;1NA;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;NUMERO CONTATO;1NA / 1NF;1NA1NF;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;NUMERO CONTATO;1NF;1NF;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;NUMERO CONTATO;2NA;2NA;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;NUMERO CONTATO;2NA / 1NF;2NA1NF;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;NUMERO CONTATO;2NA / 2NF;2NA2NF;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;NUMERO CONTATO;2NF;2NF;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;NUMERO CONTATO;3NA / 1NF;3NA1NF;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;NUMERO CONTATO;4NA;4NA;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;FABRICANTE-REFERENCIA;SIEMENS-3SB34001PA;SIEMENS-3SB34001PA;;
SMK-BICOM;BLOCO ILUMINACAO COMANDO;BLOCO ILUMINACAO COMANDO;BLOCO IL;FABRICANTE-REFERENCIA;WEG-CSWBIDF;WEG-CSWBIDF;;
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;TIPO ESTRUTURA;TUBO;TUBO;;
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;TIPO ESTRUTURA;VIGA I;VIGA I;;
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;MATERIAL;ACO CARBONO;;;
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;MATERIAL;FERRO FUNDIDO;;;
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;ACABAMENTO/TRATAMENTO SUPERF;PINTADO;;;
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;CAPACIDADE CARGA;1,5;1,5;QUILOGRAMA;Kg
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;CAPACIDADE CARGA;1000;1000;QUILOGRAMA;Kg
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;CAPACIDADE CARGA;135000;135000;QUILOGRAMA;Kg
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;CAPACIDADE CARGA;200;200;TONELADA;to
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;CAPACIDADE CARGA;2000;2000;QUILOGRAMA;Kg
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;CAPACIDADE CARGA;3;3;TONELADA;to
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;CAPACIDADE CARGA;4~8;4~8;QUILOGRAMA;Kg
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;CAPACIDADE CARGA;40;40;TONELADA;to
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;CAPACIDADE CARGA;4000;4000;QUILOGRAMA;Kg
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;CAPACIDADE CARGA;5;5;TONELADA;to
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;CAPACIDADE CARGA;5000;5000;QUILOGRAMA;Kg
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;CAPACIDADE CARGA;8;8;TONELADA;to
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;CAPACIDADE CARGA;900;900;QUILOGRAMA;Kg
SMK-BICTAL;BALANCIM ICAMENTO CARGA;BALANCIM ICAMENTO CARGA;BALANCIM;LARGURA UTIL;1000;;MILIMETRO;mm
